tier,dataset_id,dataset_short,cell_type,disease,reference,role,n_donors_A,n_donors_B,n_donors_total,n_cells,n_cells_test_real,f_real,permutation_count,resolution,mean_assignment_total,std_low,z_low,percentile_low,median_drift_A_low,median_drift_B_low,std_high,z_high,percentile_high,median_drift_A_high,median_drift_B_high,tau,t_star,q_low,n_survivors_low,survivors_denominator_low,q_mc_se_low,status_low,void_low,q_high,n_survivors_high,survivors_denominator_high,q_mc_se_high,status_high,void_high
frozen,6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,"Gabitto 2024, SEA-AD DLPFC",L2/3-6 intratelencephalic projecting glutamatergic neuron,dementia,normal,analysis_set,39,44,83,547665,230173,0.420281,727646193812764637422200,sampled,257336.566265,6819.858459,-3.98301,0.0,189.0,408.5,24024.043131,-1.130683,0.1298,4880.0,2918.5,0.01,5476,0.0,0,20000,0.0,void,True,0.1008,2016,20000,0.002129,full,False
frozen,6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,"Gabitto 2024, SEA-AD DLPFC",L2/3-6 intratelencephalic projecting glutamatergic neuron,dementia,normal,analysis_set,39,44,83,547665,230173,0.420281,727646193812764637422200,sampled,257336.566265,6819.858459,-3.98301,0.0,189.0,408.5,24024.043131,-1.130683,0.1298,4880.0,2918.5,0.025,13691,0.011,220,20000,0.000738,full,False,0.2463,4926,20000,0.003047,full,False
frozen,6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,"Gabitto 2024, SEA-AD DLPFC",L2/3-6 intratelencephalic projecting glutamatergic neuron,dementia,normal,analysis_set,39,44,83,547665,230173,0.420281,727646193812764637422200,sampled,257336.566265,6819.858459,-3.98301,0.0,189.0,408.5,24024.043131,-1.130683,0.1298,4880.0,2918.5,0.05,27383,0.5038,10076,20000,0.003535,full,False,0.49285,9857,20000,0.003535,full,False
frozen,6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,"Gabitto 2024, SEA-AD DLPFC",L2/3-6 intratelencephalic projecting glutamatergic neuron,dementia,normal,analysis_set,39,44,83,547665,230173,0.420281,727646193812764637422200,sampled,257336.566265,6819.858459,-3.98301,0.0,189.0,408.5,24024.043131,-1.130683,0.1298,4880.0,2918.5,0.075,41074,0.98545,19709,20000,0.000847,full,False,0.72115,14423,20000,0.003171,full,False
frozen,6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,"Gabitto 2024, SEA-AD DLPFC",L2/3-6 intratelencephalic projecting glutamatergic neuron,dementia,normal,analysis_set,39,44,83,547665,230173,0.420281,727646193812764637422200,sampled,257336.566265,6819.858459,-3.98301,0.0,189.0,408.5,24024.043131,-1.130683,0.1298,4880.0,2918.5,0.1,54766,1.0,20000,20000,0.0,full,False,0.87415,17483,20000,0.002345,full,False
frozen,6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,"Gabitto 2024, SEA-AD DLPFC",L5 extratelencephalic projecting glutamatergic cortical neuron,dementia,normal,analysis_set,33,43,76,3815,1521,0.398689,3594123189167641103400,sampled,1656.513158,74.123399,-1.82821,0.00135,1.0,6.0,250.12691,-0.541778,0.3041,0.0,31.0,0.01,38,0.0666,1332,20000,0.001763,full,False,0.1025,2050,20000,0.002145,full,False
frozen,6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,"Gabitto 2024, SEA-AD DLPFC",L5 extratelencephalic projecting glutamatergic cortical neuron,dementia,normal,analysis_set,33,43,76,3815,1521,0.398689,3594123189167641103400,sampled,1656.513158,74.123399,-1.82821,0.00135,1.0,6.0,250.12691,-0.541778,0.3041,0.0,31.0,0.025,95,0.40005,8001,20000,0.003464,full,False,0.2573,5146,20000,0.003091,full,False
frozen,6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,"Gabitto 2024, SEA-AD DLPFC",L5 extratelencephalic projecting glutamatergic cortical neuron,dementia,normal,analysis_set,33,43,76,3815,1521,0.398689,3594123189167641103400,sampled,1656.513158,74.123399,-1.82821,0.00135,1.0,6.0,250.12691,-0.541778,0.3041,0.0,31.0,0.05,190,0.68065,13613,20000,0.003297,full,False,0.4913,9826,20000,0.003535,full,False
frozen,6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,"Gabitto 2024, SEA-AD DLPFC",L5 extratelencephalic projecting glutamatergic cortical neuron,dementia,normal,analysis_set,33,43,76,3815,1521,0.398689,3594123189167641103400,sampled,1656.513158,74.123399,-1.82821,0.00135,1.0,6.0,250.12691,-0.541778,0.3041,0.0,31.0,0.075,286,0.9995,19990,20000,0.000158,full,False,0.68075,13615,20000,0.003296,full,False
frozen,6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,"Gabitto 2024, SEA-AD DLPFC",L5 extratelencephalic projecting glutamatergic cortical neuron,dementia,normal,analysis_set,33,43,76,3815,1521,0.398689,3594123189167641103400,sampled,1656.513158,74.123399,-1.82821,0.00135,1.0,6.0,250.12691,-0.541778,0.3041,0.0,31.0,0.1,381,1.0,20000,20000,0.0,full,False,0.8179,16358,20000,0.002729,full,False
