dataset_id,cell_type,cell_type_ontology_term_id,cell_type_ontology_depth,disease,reference,n_donors_A,n_donors_B,n_cells,cells_per_donor_by_group,median_counts_per_cell_by_group,permutation_count,confound_flags,confound_cramers_v,pooled_flag,residual_df,integer_check,frozen_universe_size,fitType,sigma_donor_estimate,envelope_min_donors_per_group,envelope_max_sigma_supported,envelope_membership,gate_status,gate_failures,dropped_thin_donors,dropped_missing_donor_cells,confound_exclusion_reasons,covariate_candidates,admitted_to_sweep,admission_blockers,census_version,role,dataset_rank,dataset_short,expected_effect,min_donors_per_group,cells_per_donor_bin_A,cells_per_donor_bin_B
6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,L2/3-6 intratelencephalic projecting glutamatergic neuron,CL:4023040,pending,dementia,normal,39,44,547665,"{""A"": {""max"": 11358, ""median"": 6071.0, ""min"": 1191, ""n_cells"": 230173, ""n_donors"": 39}, ""B"": {""max"": 16383, ""median"": 6671.5, ""min"": 3753, ""n_cells"": 317492, ""n_donors"": 44}}","{""A"": 30421.0, ""B"": 32772.0}",727646193812764637422200,"[""sequencing_depth_bin:partial_confound_v=0.324"", ""pooled:unresolved — no pool/library id in obs (D3 lower bound)""]","{""assay"": null, ""sequencing_depth_bin"": 0.324, ""suspension_type"": null, ""tissue_general"": null}",unresolved,81,pending,pending,pending,pending,pending,0.7,pending,candidate,[],{},0,[],"[""sequencing_depth_bin""]",False,"[""integer_check"", ""frozen_universe_size"", ""sigma_donor_estimate"", ""envelope_membership""]",2025-01-30,analysis_set,1,"Gabitto 2024, SEA-AD DLPFC",strong,39,"[3000,inf)","[3000,inf)"
6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,L5 extratelencephalic projecting glutamatergic cortical neuron,CL:4023041,pending,dementia,normal,33,43,3815,"{""A"": {""max"": 81, ""median"": 45.0, ""min"": 10, ""n_cells"": 1521, ""n_donors"": 33}, ""B"": {""max"": 183, ""median"": 45.0, ""min"": 14, ""n_cells"": 2294, ""n_donors"": 43}}","{""A"": 55270.0, ""B"": 55763.5}",3594123189167641103400,"[""sequencing_depth_bin:partial_confound_v=0.218"", ""pooled:unresolved — no pool/library id in obs (D3 lower bound)""]","{""assay"": null, ""sequencing_depth_bin"": 0.218, ""suspension_type"": null, ""tissue_general"": null}",unresolved,74,pending,pending,pending,pending,pending,0.7,pending,candidate,[],"{""H20.33.012"": 9, ""H20.33.028"": 2, ""H20.33.038"": 3, ""H21.33.008"": 9, ""H21.33.020"": 3, ""H21.33.045"": 7}",0,[],"[""sequencing_depth_bin""]",False,"[""integer_check"", ""frozen_universe_size"", ""sigma_donor_estimate"", ""envelope_membership""]",2025-01-30,analysis_set,1,"Gabitto 2024, SEA-AD DLPFC",strong,33,"[30,100)","[30,100)"
6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,L6b glutamatergic cortical neuron,CL:4023038,pending,dementia,normal,38,44,17989,"{""A"": {""max"": 461, ""median"": 180.5, ""min"": 17, ""n_cells"": 7575, ""n_donors"": 38}, ""B"": {""max"": 1050, ""median"": 185.0, ""min"": 42, ""n_cells"": 10414, ""n_donors"": 44}}","{""A"": 36262.0, ""B"": 36016.5}",341906042875877359752600,"[""sequencing_depth_bin:partial_confound_v=0.214"", ""pooled:unresolved — no pool/library id in obs (D3 lower bound)""]","{""assay"": null, ""sequencing_depth_bin"": 0.214, ""suspension_type"": null, ""tissue_general"": null}",unresolved,80,pending,pending,pending,pending,pending,0.7,pending,candidate,[],"{""H21.33.020"": 7}",0,[],"[""sequencing_depth_bin""]",False,"[""integer_check"", ""frozen_universe_size"", ""sigma_donor_estimate"", ""envelope_membership""]",2025-01-30,analysis_set,1,"Gabitto 2024, SEA-AD DLPFC",strong,38,"[100,300)","[100,300)"
6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,VIP GABAergic cortical interneuron,CL:4023016,pending,dementia,normal,39,44,95014,"{""A"": {""max"": 1641, ""median"": 1069.0, ""min"": 124, ""n_cells"": 41422, ""n_donors"": 39}, ""B"": {""max"": 2762, ""median"": 1147.5, ""min"": 739, ""n_cells"": 53592, ""n_donors"": 44}}","{""A"": 14903.0, ""B"": 15010.5}",727646193812764637422200,"[""sequencing_depth_bin:partial_confound_v=0.105"", ""pooled:unresolved — no pool/library id in obs (D3 lower bound)""]","{""assay"": null, ""sequencing_depth_bin"": 0.105, ""suspension_type"": null, ""tissue_general"": null}",unresolved,81,pending,pending,pending,pending,pending,0.7,pending,candidate,[],{},0,[],"[""sequencing_depth_bin""]",False,"[""integer_check"", ""frozen_universe_size"", ""sigma_donor_estimate"", ""envelope_membership""]",2025-01-30,analysis_set,1,"Gabitto 2024, SEA-AD DLPFC",strong,39,"[1000,3000)","[1000,3000)"
6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,astrocyte of the cerebral cortex,CL:0002605,pending,dementia,normal,39,44,82936,"{""A"": {""max"": 2629, ""median"": 1008.0, ""min"": 297, ""n_cells"": 41963, ""n_donors"": 39}, ""B"": {""max"": 2471, ""median"": 815.5, ""min"": 132, ""n_cells"": 40973, ""n_donors"": 44}}","{""A"": 9164.0, ""B"": 9068.0}",727646193812764637422200,"[""sequencing_depth_bin:partial_confound_v=0.046"", ""pooled:unresolved — no pool/library id in obs (D3 lower bound)""]","{""assay"": null, ""sequencing_depth_bin"": 0.046, ""suspension_type"": null, ""tissue_general"": null}",unresolved,81,pending,pending,pending,pending,pending,0.7,pending,candidate,[],{},0,[],"[""sequencing_depth_bin""]",False,"[""integer_check"", ""frozen_universe_size"", ""sigma_donor_estimate"", ""envelope_membership""]",2025-01-30,analysis_set,1,"Gabitto 2024, SEA-AD DLPFC",strong,39,"[1000,3000)","[300,1000)"
6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,caudal ganglionic eminence derived interneuron,CL:4023064,pending,dementia,normal,38,44,8976,"{""A"": {""max"": 229, ""median"": 107.5, ""min"": 32, ""n_cells"": 4170, ""n_donors"": 38}, ""B"": {""max"": 277, ""median"": 102.5, ""min"": 27, ""n_cells"": 4806, ""n_donors"": 44}}","{""A"": 21763.0, ""B"": 22038.0}",341906042875877359752600,"[""sequencing_depth_bin:partial_confound_v=0.08"", ""pooled:unresolved — no pool/library id in obs (D3 lower bound)""]","{""assay"": null, ""sequencing_depth_bin"": 0.08, ""suspension_type"": null, ""tissue_general"": null}",unresolved,80,pending,pending,pending,pending,pending,0.7,pending,candidate,[],"{""H21.33.020"": 8}",0,[],"[""sequencing_depth_bin""]",False,"[""integer_check"", ""frozen_universe_size"", ""sigma_donor_estimate"", ""envelope_membership""]",2025-01-30,analysis_set,1,"Gabitto 2024, SEA-AD DLPFC",strong,38,"[100,300)","[100,300)"
6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,cerebral cortex endothelial cell,CL:1001602,pending,dementia,normal,35,40,2437,"{""A"": {""max"": 102, ""median"": 29.0, ""min"": 10, ""n_cells"": 1185, ""n_donors"": 35}, ""B"": {""max"": 77, ""median"": 29.0, ""min"": 11, ""n_cells"": 1252, ""n_donors"": 40}}","{""A"": 6069.0, ""B"": 5901.0}",2942618815403661578310,"[""sequencing_depth_bin:partial_confound_v=0.038"", ""pooled:unresolved — no pool/library id in obs (D3 lower bound)""]","{""assay"": null, ""sequencing_depth_bin"": 0.038, ""suspension_type"": null, ""tissue_general"": null}",unresolved,73,pending,pending,pending,pending,pending,0.7,pending,candidate,[],"{""H20.33.008"": 4, ""H21.33.001"": 8, ""H21.33.006"": 7, ""H21.33.008"": 7, ""H21.33.011"": 9, ""H21.33.019"": 6, ""H21.33.027"": 9, ""H21.33.031"": 9}",0,[],"[""sequencing_depth_bin""]",False,"[""integer_check"", ""frozen_universe_size"", ""sigma_donor_estimate"", ""envelope_membership""]",2025-01-30,analysis_set,1,"Gabitto 2024, SEA-AD DLPFC",strong,35,"[10,30)","[10,30)"
6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,chandelier pvalb GABAergic cortical interneuron,CL:4023036,pending,dementia,normal,39,44,14871,"{""A"": {""max"": 310, ""median"": 155.0, ""min"": 13, ""n_cells"": 5969, ""n_donors"": 39}, ""B"": {""max"": 427, ""median"": 205.0, ""min"": 81, ""n_cells"": 8902, ""n_donors"": 44}}","{""A"": 16904.0, ""B"": 16804.5}",727646193812764637422200,"[""sequencing_depth_bin:partial_confound_v=0.142"", ""pooled:unresolved — no pool/library id in obs (D3 lower bound)""]","{""assay"": null, ""sequencing_depth_bin"": 0.142, ""suspension_type"": null, ""tissue_general"": null}",unresolved,81,pending,pending,pending,pending,pending,0.7,pending,candidate,[],{},0,[],"[""sequencing_depth_bin""]",False,"[""integer_check"", ""frozen_universe_size"", ""sigma_donor_estimate"", ""envelope_membership""]",2025-01-30,analysis_set,1,"Gabitto 2024, SEA-AD DLPFC",strong,39,"[100,300)","[100,300)"
6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,corticothalamic-projecting glutamatergic cortical neuron,CL:4023013,pending,dementia,normal,39,44,27454,"{""A"": {""max"": 651, ""median"": 309.0, ""min"": 19, ""n_cells"": 12002, ""n_donors"": 39}, ""B"": {""max"": 880, ""median"": 328.5, ""min"": 118, ""n_cells"": 15452, ""n_donors"": 44}}","{""A"": 29190.0, ""B"": 30737.0}",727646193812764637422200,"[""sequencing_depth_bin:partial_confound_v=0.248"", ""pooled:unresolved — no pool/library id in obs (D3 lower bound)""]","{""assay"": null, ""sequencing_depth_bin"": 0.248, ""suspension_type"": null, ""tissue_general"": null}",unresolved,81,pending,pending,pending,pending,pending,0.7,pending,candidate,[],{},0,[],"[""sequencing_depth_bin""]",False,"[""integer_check"", ""frozen_universe_size"", ""sigma_donor_estimate"", ""envelope_membership""]",2025-01-30,analysis_set,1,"Gabitto 2024, SEA-AD DLPFC",strong,39,"[300,1000)","[300,1000)"
6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,lamp5 GABAergic cortical interneuron,CL:4023011,pending,dementia,normal,39,44,74431,"{""A"": {""max"": 1466, ""median"": 863.0, ""min"": 107, ""n_cells"": 34419, ""n_donors"": 39}, ""B"": {""max"": 1780, ""median"": 860.5, ""min"": 513, ""n_cells"": 40012, ""n_donors"": 44}}","{""A"": 15661.0, ""B"": 17938.5}",727646193812764637422200,"[""sequencing_depth_bin:partial_confound_v=0.251"", ""pooled:unresolved — no pool/library id in obs (D3 lower bound)""]","{""assay"": null, ""sequencing_depth_bin"": 0.251, ""suspension_type"": null, ""tissue_general"": null}",unresolved,81,pending,pending,pending,pending,pending,0.7,pending,candidate,[],{},0,[],"[""sequencing_depth_bin""]",False,"[""integer_check"", ""frozen_universe_size"", ""sigma_donor_estimate"", ""envelope_membership""]",2025-01-30,analysis_set,1,"Gabitto 2024, SEA-AD DLPFC",strong,39,"[300,1000)","[300,1000)"
