tier,gen_arm,test,sigma_het,sigma_donor,n_donors,n_perm,lambda_pb,fp_rate,fp_binom_p,mean_rejections,power,power_sd,n_power_reps,prior_df_d0,shrinkage,seconds
A,directnb,ebayes,0.0,0.5,8,3000,1.0102558552566612,0.030666666666666665,0.9999999251161986,0.03233333333333333,0.1938,,,69.23373917286737,0.8317989779250031,73.2798578000511
A,directnb,ebayes,0.4,0.5,8,3000,1.0130346558605123,0.03266666666666666,0.9999985117889925,0.036,0.17240000000000003,,,8.040756881433893,0.3648131016864966,72.3056215000106
A,directnb,ebayes,0.8,0.5,8,3000,1.0043731504781548,0.04566666666666667,0.8717754559747465,0.051333333333333335,0.41859999999999997,,,2.935560298534926,0.1733370639522849,74.01655840000603
A,directnb,ebayes,1.2,0.5,8,3000,0.9982285142417666,0.046,0.8528287114965541,0.051,0.5945496272979374,,,2.1297609003432068,0.13203921084148804,73.13694699999178
A,directnb,ebayes_trend,0.0,0.5,8,3000,1.0110810730479782,0.032,0.9999994267190824,0.034,0.1962,,,70.30615502568712,0.833938577844828,74.8611258000019
A,directnb,ebayes_trend,0.4,0.5,8,3000,1.0133167266140437,0.032,0.9999994267190824,0.035333333333333335,0.172,,,8.046755806867255,0.3649859361330978,74.49737250001635
A,directnb,ebayes_trend,0.8,0.5,8,3000,1.0048328772258113,0.045,0.9045267100516348,0.04933333333333333,0.41980000000000006,,,2.9999372625468816,0.17646754903949802,76.49784209998325
A,directnb,ebayes_trend,1.2,0.5,8,3000,0.9968379411423748,0.04766666666666667,0.7325859766370832,0.05266666666666667,0.5955516679580909,,,2.243434709334534,0.13811332082649433,75.92785749997711
A,directnb,pooled_t,0.0,0.5,8,3000,1.012390066695453,0.047,0.7856075339216462,0.051333333333333335,0.06559999999999999,,,0.0,0.0,73.79315770004177
A,directnb,pooled_t,0.4,0.5,8,3000,1.0134356191892049,0.044,0.9416464760437223,0.048,0.16479999999999997,,,0.0,0.0,72.88770170003409
A,directnb,pooled_t,0.8,0.5,8,3000,1.0097679570957685,0.042333333333333334,0.9776716771139717,0.04766666666666667,0.393,,,0.0,0.0,74.11875710001914
A,directnb,pooled_t,1.2,0.5,8,3000,1.0077665283345916,0.04466666666666667,0.918426710651721,0.051,0.567632174803849,,,0.0,0.0,73.57436019997112
A,directnb,ttest,0.0,0.5,8,3000,1.0044709545027324,0.030333333333333334,0.9999999561925902,0.032,0.0404,,,,,75.82165549998172
A,directnb,ttest,0.4,0.5,8,3000,1.006631827836499,0.027333333333333334,0.9999999997906567,0.028666666666666667,0.129,,,,,73.72299239999847
A,directnb,ttest,0.8,0.5,8,3000,1.0025089046303202,0.029333333333333333,0.9999999918018243,0.031,0.3635999999999999,,,,,75.20969529997092
A,directnb,ttest,1.2,0.5,8,3000,1.0014471239584375,0.029,0.9999999954170425,0.03166666666666667,0.5469462363536571,,,,,75.29948549997061
A,directnb,voom,0.0,0.5,8,3000,1.0120028408973023,0.029666666666666668,0.9999999855033012,0.03166666666666667,0.19,,,68.1617635210644,0.829604436418764,856.4767849000054
