cell_id,description,donor_sigma,n_genes,n_cells_per_donor,mean_log_mu,n_seeds,is_complete,mean_sqrt_s0_squared_times_ln2,sd_sqrt_s0_squared_times_ln2,sem_sqrt_s0_squared_times_ln2,ratio_to_sigma,n_below_sigma,L_tilde_median_over_seeds,L_crit,L_tilde_over_L_crit,median_cpm_median_over_seeds,a_bar_median_over_seeds,median_prior_df_d0_finite_only,n_replicates_complete_pooling,median_universe_size
c01,"1000 genes, 30 cells, mean_log_mu = 0",0.35,1000,30,0.0,16,True,0.4216050619555872,0.004355796060084896,0.001088949015021224,1.2045858913016778,0,62814.0,4081632.653061225,0.015389429999999997,464.74673783072,0.997852865476154,6.856207980386252,0,998.0
c02,"1000 genes, 30 cells",0.35,1000,30,1.0,16,True,0.38858531764051285,0.0031127979458092122,0.0007781994864523031,1.1102437646871797,0,170378.0,4081632.653061225,0.04174260999999999,463.33528311019734,0.9978463680217295,28.447458394948598,0,1000.0
c03,"1000 genes, 300 cells, mean_log_mu = 0",0.35,1000,300,0.0,16,True,0.35993129431694243,0.0026037075150974896,0.0006509268787743724,1.0283751266198355,0,630926.25,4081632.653061225,0.15457693124999997,465.8521715785429,0.9978579861161546,199.06305155610215,3,1000.0
c04,"1000 genes, 300 cells",0.35,1000,300,1.0,16,True,0.35355145228894336,0.0026155368645235945,0.0006538842161308986,1.0101470065398381,1,1713497.75,4081632.653061225,0.41980694874999996,465.00351607983947,0.99785408117144,210.19062953596233,7,1000.0
c05,"1500 genes, 250 cells",0.35,1500,250,1.0,16,True,0.35325030899346954,0.0018949581780946991,0.0004737395445236748,1.0092865971241987,1,2148540.5,4081632.653061225,0.5263924225,312.52810769348247,0.9968104844545187,378.56959539778137,5,1500.0
c06,"1500 genes, 250 cells [gate_config.ORACLE_SIM geometry at CALIBRATION_EVAL_SIGMA]",0.5,1500,250,1.0,16,True,0.500639450232054,0.0020551777151412167,0.0005137944287853042,1.001278900464108,7,2151318.5,2000000.0,1.07565925,291.92055958778997,0.9965860720831992,416.4654346883974,6,1500.0
c07,"15000 genes, 300 cells",0.2,15000,300,1.0,16,True,0.19545787934202435,0.00020926429323980117,5.231607330995029e-05,0.9772893967101217,16,26359504.0,12499999.999999998,2.1087603200000005,31.9648440796269,0.969664652110698,253.70106621778498,0,15000.0
c08,"15000 genes, 100 cells",0.35,15000,100,1.0,16,True,0.3415041780177984,0.0003238293916571258,8.095734791428145e-05,0.9757262229079956,16,8851727.75,4081632.653061225,2.1686732987499995,30.632936480641966,0.9683873799760664,225.3708654444926,0,15000.0
c09,"15000 genes, 300 cells",0.35,15000,300,1.0,16,True,0.33185483271005045,0.0003257358259829058,8.143395649572645e-05,0.9481566648858585,16,26311524.0,4081632.653061225,6.446323379999999,30.65205104894835,0.9684064177890919,102.8843571021823,0,15000.0
c10,"15000 genes, 300 cells",0.5,15000,300,1.0,16,True,0.4675781292517376,0.00044358749142663355,0.00011089687285665839,0.9351562585034752,16,26373302.75,2000000.0,13.186651375,28.7700606704996,0.9664092048943926,77.09607609370237,0,15000.0
